SUE,Coordination_Cost,Human_Minutes,Requests_Total,Requests_Denied,Blocking_Prob,Mean_Quality,Total_Active_Users,Correct_SUE,Num_Interfering_Assignments,Interference_Rate,architecture_id,coordination_mode,licensing_mode,freq_plan,interference_mitigation,sensing_mode,pricing_mode,enforcement_mode,priority_mode
0.65092593,19504800.66000000,19504800.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Passive,Hierarchical
0.70366667,26006400.27000000,26006400.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Passive,Co-Primary
0.58785185,13003200.26000000,13003200.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Device Based, pricing=Auction Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Device Based,Auction Based,Passive,Exclusive
0.65092593,39009600.66000000,39009600.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Active,Hierarchical
0.70366667,52012800.27000000,52012800.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Active,Co-Primary
0.58785185,26006400.26000000,26006400.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Active,Exclusive
0.65092593,19504800.66000000,19504800.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Passive,Hierarchical
0.70366667,26006400.27000000,26006400.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Passive,Co-Primary
0.58785185,13003200.26000000,13003200.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,No Cost,Passive,Exclusive
0.65092593,39009600.66000000,39009600.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Active,Hierarchical
0.70366667,52012800.27000000,52012800.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Active,Co-Primary
0.58785185,26006400.26000000,26006400.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Active,Exclusive
0.65092593,19504800.66000000,19504800.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Passive,Hierarchical
0.70366667,26006400.27000000,26006400.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Passive,Co-Primary
0.58785185,13003200.26000000,13003200.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Usage Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Usage Based,Passive,Exclusive
0.65092593,39009600.66000000,39009600.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Auction Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Auction Based,Active,Hierarchical
0.70366667,52012800.27000000,52012800.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Auction Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Auction Based,Active,Co-Primary
0.58785185,26006400.26000000,26006400.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Auction Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Auction Based,Active,Exclusive
0.65092593,19504800.66000000,19504800.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Auction Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Auction Based,Passive,Hierarchical
0.70366667,26006400.27000000,26006400.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Auction Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Auction Based,Passive,Co-Primary
0.58785185,13003200.26000000,13003200.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Infrastructure Sensors, pricing=Auction Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Infrastructure Sensors,Auction Based,Passive,Exclusive
0.65092593,39009600.66000000,39009600.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=No Cost, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,No Cost,Active,Hierarchical
0.70366667,52012800.27000000,52012800.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=No Cost, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,No Cost,Active,Co-Primary
0.58785185,26006400.26000000,26006400.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=No Cost, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,No Cost,Active,Exclusive
0.65092593,19504800.66000000,19504800.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=No Cost, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,No Cost,Passive,Hierarchical
0.70366667,26006400.27000000,26006400.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=No Cost, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,No Cost,Passive,Co-Primary
0.58785185,13003200.26000000,13003200.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=No Cost, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,No Cost,Passive,Exclusive
0.65092593,39009600.66000000,39009600.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Usage Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Usage Based,Active,Hierarchical
0.70366667,52012800.27000000,52012800.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Usage Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Usage Based,Active,Co-Primary
0.58785185,26006400.26000000,26006400.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Usage Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Usage Based,Active,Exclusive
0.65092593,19504800.66000000,19504800.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Usage Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Usage Based,Passive,Hierarchical
0.70366667,26006400.27000000,26006400.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Usage Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Usage Based,Passive,Co-Primary
0.58785185,13003200.26000000,13003200.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Usage Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Usage Based,Passive,Exclusive
0.65092593,39009600.66000000,39009600.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Auction Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Auction Based,Active,Hierarchical
0.70366667,52012800.27000000,52012800.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Auction Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Auction Based,Active,Co-Primary
0.58785185,26006400.26000000,26006400.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Auction Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Auction Based,Active,Exclusive
0.65092593,19504800.66000000,19504800.00000000,301,235,0.78073090,1.00000000,25,0.65092593,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Auction Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Auction Based,Passive,Hierarchical
0.70366667,26006400.27000000,26006400.00000000,301,274,0.91029900,1.00000000,27,0.70366667,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Auction Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Auction Based,Passive,Co-Primary
0.58785185,13003200.26000000,13003200.00000000,301,275,0.91362126,1.00000000,26,0.58785185,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=No Mitigation, sensing=Database Only, pricing=Auction Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,No Mitigation,Database Only,Auction Based,Passive,Exclusive
0.27122241,39009601.48000000,39009600.00000000,301,153,0.50830565,0.14748598,55,1.16118519,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,Power Control,Device Based,No Cost,Active,Hierarchical
0.09921477,52012801.08000000,52012800.00000000,301,193,0.64119601,0.00685698,108,2.75000000,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,Power Control,Device Based,No Cost,Active,Co-Primary
0.15199660,26006401.01000000,26006400.00000000,301,200,0.66445183,0.03557451,101,2.32007407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=No Cost, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,Power Control,Device Based,No Cost,Active,Exclusive
0.27122241,19504801.48000000,19504800.00000000,301,153,0.50830565,0.14748598,55,1.16118519,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,Power Control,Device Based,No Cost,Passive,Hierarchical
0.09921477,26006401.08000000,26006400.00000000,301,193,0.64119601,0.00685698,108,2.75000000,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,Power Control,Device Based,No Cost,Passive,Co-Primary
0.15199660,13003201.01000000,13003200.00000000,301,200,0.66445183,0.03557451,101,2.32007407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=No Cost, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,Power Control,Device Based,No Cost,Passive,Exclusive
0.27122241,39009601.48000000,39009600.00000000,301,153,0.50830565,0.14748598,55,1.16118519,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,Power Control,Device Based,Usage Based,Active,Hierarchical
0.09921477,52012801.08000000,52012800.00000000,301,193,0.64119601,0.00685698,108,2.75000000,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,Power Control,Device Based,Usage Based,Active,Co-Primary
0.15199660,26006401.01000000,26006400.00000000,301,200,0.66445183,0.03557451,101,2.32007407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Usage Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,Power Control,Device Based,Usage Based,Active,Exclusive
0.27122241,19504801.48000000,19504800.00000000,301,153,0.50830565,0.14748598,55,1.16118519,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,Power Control,Device Based,Usage Based,Passive,Hierarchical
0.09921477,26006401.08000000,26006400.00000000,301,193,0.64119601,0.00685698,108,2.75000000,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,Power Control,Device Based,Usage Based,Passive,Co-Primary
0.15199660,13003201.01000000,13003200.00000000,301,200,0.66445183,0.03557451,101,2.32007407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Usage Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,Power Control,Device Based,Usage Based,Passive,Exclusive
0.27122241,39009601.48000000,39009600.00000000,301,153,0.50830565,0.14748598,55,1.16118519,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Auction Based, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,Power Control,Device Based,Auction Based,Active,Hierarchical
0.09921477,52012801.08000000,52012800.00000000,301,193,0.64119601,0.00685698,108,2.75000000,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Auction Based, enforce=Active, prio=Co-Primary>",Centralized,Manual,Large Blocks,Power Control,Device Based,Auction Based,Active,Co-Primary
0.15199660,26006401.01000000,26006400.00000000,301,200,0.66445183,0.03557451,101,2.32007407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Auction Based, enforce=Active, prio=Exclusive>",Centralized,Manual,Large Blocks,Power Control,Device Based,Auction Based,Active,Exclusive
0.27122241,19504801.48000000,19504800.00000000,301,153,0.50830565,0.14748598,55,1.16118519,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Auction Based, enforce=Passive, prio=Hierarchical>",Centralized,Manual,Large Blocks,Power Control,Device Based,Auction Based,Passive,Hierarchical
0.09921477,26006401.08000000,26006400.00000000,301,193,0.64119601,0.00685698,108,2.75000000,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Auction Based, enforce=Passive, prio=Co-Primary>",Centralized,Manual,Large Blocks,Power Control,Device Based,Auction Based,Passive,Co-Primary
0.15199660,13003201.01000000,13003200.00000000,301,200,0.66445183,0.03557451,101,2.32007407,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Device Based, pricing=Auction Based, enforce=Passive, prio=Exclusive>",Centralized,Manual,Large Blocks,Power Control,Device Based,Auction Based,Passive,Exclusive
0.27122241,39009601.48000000,39009600.00000000,301,153,0.50830565,0.14748598,55,1.16118519,0,0.00000000,"<ArchitecturePolicy coord=Centralized, lic=Manual, freq=Large Blocks, int_mitg=Power Control, sensing=Infrastructure Sensors, pricing=No Cost, enforce=Active, prio=Hierarchical>",Centralized,Manual,Large Blocks,Power Control,Infrastructure Sensors,No Cost,Active,Hierarchical
